Dataset,Strategy,Model,SERA
a1,SMT,BaggingRegressor,2069.2515725454023
a1,SMT,DecisionTreeRegressor,2918.3158785919723
a1,SMT,MLPRegressor,5603206.586810349
a1,SMT,RandomForestRegressor,2015.253172739914
a1,SMT,SVR,3163.2248356039236
a1,SMT,XGBRegressor,2182.615590055419
a1,RO,BaggingRegressor,2124.866558799999
a1,RO,DecisionTreeRegressor,3266.5674949999984
a1,RO,MLPRegressor,396793.1443515379
a1,RO,RandomForestRegressor,2000.6614126147501
a1,RO,SVR,1379.3780186613199
a1,RO,XGBRegressor,2763.383613941979
a1,RU,BaggingRegressor,1857.033474475001
a1,RU,DecisionTreeRegressor,3371.4340600000005
a1,RU,MLPRegressor,1735103.2124873933
a1,RU,RandomForestRegressor,1667.5810821612504
a1,RU,SVR,2511.2148736405384
a1,RU,XGBRegressor,2314.8880263140804
a1,GN,BaggingRegressor,2079.5815910982456
a1,GN,DecisionTreeRegressor,2872.1899207127144
a1,GN,MLPRegressor,1747321.9014058034
a1,GN,RandomForestRegressor,1738.1398781173564
a1,GN,SVR,1359.6528202066584
a1,GN,XGBRegressor,2114.758771531585
a1,SG,BaggingRegressor,1745.8114129861738
a1,SG,DecisionTreeRegressor,2444.646608717004
a1,SG,MLPRegressor,624182.2165202487
a1,SG,RandomForestRegressor,1587.904600866428
a1,SG,SVR,1389.7583307601892
a1,SG,XGBRegressor,2198.580346051921
a1,WC,BaggingRegressor,1799.8399335749996
a1,WC,DecisionTreeRegressor,3686.6619499999993
a1,WC,MLPRegressor,2715790.9803463095
a1,WC,RandomForestRegressor,1899.218749552001
a1,WC,SVR,2112.526923826931
a1,WC,XGBRegressor,2257.9153844802563
a2,SMT,BaggingRegressor,1468.9889280024468
a2,SMT,DecisionTreeRegressor,1803.7799022587938
a2,SMT,MLPRegressor,14563976.151406175
a2,SMT,RandomForestRegressor,1491.7579369472421
a2,SMT,SVR,1545.97039294272
a2,SMT,XGBRegressor,1557.442676649219
a2,RO,BaggingRegressor,1435.9686674500008
a2,RO,DecisionTreeRegressor,1881.5571675000006
a2,RO,MLPRegressor,3972634.7051972672
a2,RO,RandomForestRegressor,1465.8830626934998
a2,RO,SVR,1122.6202715892978
a2,RO,XGBRegressor,1615.185137985935
a2,RU,BaggingRegressor,1569.8668276999995
a2,RU,DecisionTreeRegressor,2798.766535
a2,RU,MLPRegressor,23289523.763671614
a2,RU,RandomForestRegressor,1123.6979337529995
a2,RU,SVR,1003.9633654700417
a2,RU,XGBRegressor,1421.0758723874958
a2,GN,BaggingRegressor,1206.3149449602547
a2,GN,DecisionTreeRegressor,1926.2924194325528
a2,GN,MLPRegressor,17921423.288692243
a2,GN,RandomForestRegressor,1351.0054128312045
a2,GN,SVR,1024.435432651796
a2,GN,XGBRegressor,1415.6908144236374
a2,SG,BaggingRegressor,1271.9407918295728
a2,SG,DecisionTreeRegressor,2095.851322538575
a2,SG,MLPRegressor,7420156.429708061
a2,SG,RandomForestRegressor,1223.9813677191464
a2,SG,SVR,1320.4033050758878
a2,SG,XGBRegressor,1435.0423911481978
a2,WC,BaggingRegressor,1231.1902979750007
a2,WC,DecisionTreeRegressor,1992.698222500001
a2,WC,MLPRegressor,8215136.700497513
a2,WC,RandomForestRegressor,1288.0153718629997
a2,WC,SVR,1165.3080288270269
a2,WC,XGBRegressor,1230.056007500792
a3,SMT,BaggingRegressor,565.7916878458713
a3,SMT,DecisionTreeRegressor,910.8795321253908
a3,SMT,MLPRegressor,6643401.451144947
a3,SMT,RandomForestRegressor,559.5284864601341
a3,SMT,SVR,732.2111963839883
a3,SMT,XGBRegressor,616.3096741820218
a3,RO,BaggingRegressor,628.5467306000002
a3,RO,DecisionTreeRegressor,887.1485499999999
a3,RO,MLPRegressor,2676603.338601002
a3,RO,RandomForestRegressor,585.7523427995
a3,RO,SVR,539.0286196404758
a3,RO,XGBRegressor,611.3514657717387
a3,RU,BaggingRegressor,529.6936568750001
a3,RU,DecisionTreeRegressor,912.8019825000008
a3,RU,MLPRegressor,5972156.3239141535
a3,RU,RandomForestRegressor,473.9551247945001
a3,RU,SVR,513.0142941402512
a3,RU,XGBRegressor,502.97327950031985
a3,GN,BaggingRegressor,478.83622253162355
a3,GN,DecisionTreeRegressor,855.5992331888941
a3,GN,MLPRegressor,25912092.83920272
a3,GN,RandomForestRegressor,458.92089665318997
a3,GN,SVR,420.4557995634865
a3,GN,XGBRegressor,504.98297618895157
a3,SG,BaggingRegressor,553.8660239496803
a3,SG,DecisionTreeRegressor,676.2306119761711
a3,SG,MLPRegressor,3583017.703602197
a3,SG,RandomForestRegressor,517.8154919604607
a3,SG,SVR,639.692838192509
a3,SG,XGBRegressor,572.9088225062135
a3,WC,BaggingRegressor,451.04777285000034
a3,WC,DecisionTreeRegressor,692.7114275000001
a3,WC,MLPRegressor,9258452.707282731
a3,WC,RandomForestRegressor,474.3961849402499
a3,WC,SVR,451.6944837552739
a3,WC,XGBRegressor,542.4628787369408
