Dataset,Model,SERA_Baseline
a1,BaggingRegressor,2064.26760775
a1,DecisionTreeRegressor,3268.2914549999996
a1,MLPRegressor,3018473.712302295
a1,RandomForestRegressor,1953.0255125917502
a1,SVR,4888.947583179495
a1,XGBRegressor,2106.2328496489417
a2,BaggingRegressor,1508.295444750001
a2,DecisionTreeRegressor,2106.157705000001
a2,MLPRegressor,12983582.554069746
a2,RandomForestRegressor,1418.5758698097495
a2,SVR,2096.5809622626866
a2,XGBRegressor,1549.526131502011
a3,BaggingRegressor,613.548743525
a3,DecisionTreeRegressor,844.1336425
a3,MLPRegressor,14975390.5677738
a3,RandomForestRegressor,616.4444347222501
a3,SVR,924.8366619120976
a3,XGBRegressor,633.1872703541255
